Nama,Harga,Rating,Link,Komentar
Steelseries Arctis Nova 5p For Playstation 4 / 5 - Wireless & Bluetooth Gaming Headset - Hitam,Rp2.128.000,5,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-5p-for-playstation-4-5-wireless-bluetooth-gaming-headset-hitam-70f19?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Barang sampai dengan aman
Logitech G PRO X 2 LIGHTSPEED Headset Gaming Wireless Bluetooth -Black,Rp3.118.000,4.9,https://www.tokopedia.com/goodgamingshop/logitech-g-pro-x-2-lightspeed-headset-gaming-wireless-bluetooth-black?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"sementara sangat oke, semoga aman terus ini"
RAZER Kraken X LITE Essential Hyperspeed Wired Gaming Headset - Gaming Headset,Rp549.000,-,https://www.tokopedia.com/goodgamingshop/razer-kraken-x-lite-essential-hyperspeed-wired-gaming-headset-gaming-headset-1731036981409645735?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Steelseries Arctis Nova Pro Wireless X White with GameDAC Gen 2 - Gaming Headset,Rp5.889.000,-,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-pro-wireless-x-white-with-gamedac-gen-2-gaming-headset?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Steelseries Arctis Nova 1 - Gaming Headset - Putih,Rp1.049.000,4.9,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-1-gaming-headset-putih?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"packing oke tpi mungkin bs ditambah satu layer proteksi lagi. Audio qualitynya dan micnya mantep banget, harus diadjust dlu pake appnya Steelseries. Warna putihnya juga c... || barang 👍🏻 penjual 👍🏻 pengiriman 👎🏻 review barang volume di headphone terpisah sama yang ada di control pc, pemakaian 40-50 udah enak, kualitas suara sudah puas, ta... || Barang tiba dgn aman walaupun boxnya gembul. Barang berjalan dgn lancar jaya"
Steelseries Arctis Pro RGB With GAME DAC (NON WARRANTY) - Hitam,Rp2.800.000,4,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-pro-rgb-with-game-dac-non-warranty-hitam?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Dac bagus semua berfungsi, hanya sideplate nya legnket gitu dibersihin jga ga ilang2"
HyperX Cloud III / Cloud 3 - Gaming Headset - Merah,Rp1.202.378,4.9,https://www.tokopedia.com/goodgamingshop/hyperx-cloud-iii-cloud-3-gaming-headset-merah?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"ga diragukan lagi emang hyper x gokil suaranya, admin respon cepat pengiriman gercep juga, dibungkus aman dan rapih pokonya bintang 5 buat semuanya💯 || materialnya bagus barangnya juga ga cacat, enak dipake di telinga pas sama ukurannya || Mulus, tidak ada cacat, murah dibanding toko lain"
Cooler Master CH331 SF6 Chun-Li Gaming Headset,Rp619.000,-,https://www.tokopedia.com/goodgamingshop/cooler-master-ch331-sf6-chun-li-gaming-headset?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Steelseries Arctis Nova 7 Wireless WOW World of Warcraft Edition - Gaming Headset,Rp3.549.000,-,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-7-wireless-wow-world-of-warcraft-edition-gaming-headset?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Gamen GH1100 Pro -Headset Gaming,Rp182.200,-,https://www.tokopedia.com/goodgamingshop/gamen-gh1100-pro-headset-gaming?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Razer Kraken V4 X - USB C Multiplatform RGB Wired Gaming Headset,Rp1.429.000,5,https://www.tokopedia.com/goodgamingshop/razer-kraken-v4-x-usb-c-multiplatform-rgb-wired-gaming-headset?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Gamen SIrens 2 BT Earphone,Rp253.000,5,https://www.tokopedia.com/goodgamingshop/gamen-sirens-2-bt-earphone?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Fantech VALOR II MH89 / MH-89 VALOR II Headset Gaming PC kabel 3.5mm TRRS Jack Headphone Multi Platform - Gaming Headset - Hitam,Rp229.000,-,https://www.tokopedia.com/goodgamingshop/fantech-valor-ii-mh89-mh-89-valor-ii-headset-gaming-pc-kabel-3-5mm-trrs-jack-headphone-multi-platform-gaming-headset-1731046038036645031?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Headset Gaming Multiplatform Sades Carrier 3in1 Connection,Rp1.600.000,-,https://www.tokopedia.com/goodgamingshop/headset-gaming-multiplatform-sades-carrier-3in1-connection?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
dbE DJ500 High End Closed Back Over Ear DJ Headphone,Rp699.000,5,https://www.tokopedia.com/goodgamingshop/dbe-dj500-high-end-closed-back-over-ear-dj-headphone?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Steelseries Arctis Nova 1X - Gaming Headset,Rp1.200.000,5,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-1x-gaming-headset?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Fantech TRINITY MH88 Multiplatform Headset Gaming Mobile FREE SPLITTER - Merah Muda,Rp159.000,4.8,https://www.tokopedia.com/goodgamingshop/fantech-trinity-mh88-multiplatform-headset-gaming-mobile-free-splitter-merah-muda?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"modelnya bagus ga norak, mic quality is better than i expected, and the audio quality biasa aja sih gak ada yang mencolok || overall barang bagus, suara nya ok, mic nya bagus banget. kekuranganya paling packaging nya penyok sedikit sama not support to mobile || Pas dateng kardus penyok dikit sih tapi tapi okelah sejauh ini headset nya masih berfungsi dengan baik"
