Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Lamzu Atlantis Mini Pro Superlight Wireless Gaming Mouse - Elegant Blue,Chemicy Gaming,Rp1.549.000,10,5,https://www.tokopedia.com/chemicygaming/lamzu-atlantis-mini-pro-superlight-wireless-gaming-mouse-elegant-blue-bf480?extParam=whid%3D70839%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"barang sampai cepat, segel asli, packaging rapih gacoooorrrrrrr"
Logitech G502X / G502 X Plus Lightspeed Wireless RGB Gaming Mouse - Hitam,Chemicy Gaming,Rp2.368.000,16,5,https://www.tokopedia.com/chemicygaming/logitech-g502x-g502-x-plus-lightspeed-wireless-rgb-gaming-mouse-hitam?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Kualitas mantap sesuai harga.. Nyaman dan praktis tinggal plug and play, Ukuran mouse pas ditangan. || bagusssss poll..salah satu mouse yg terbaik saat ini..G 502 X plus.. respon toko gercep dan baik dlm melayani konsumen..packing aman..recommeded seller .Ukuran mouse pas... || g502x upgrade cantik. Jauh dari g502 sebelumnya. sedikit ngeri terima barang dus basah... untung aman. Brngkali HARUS packing lebih kedap air kalau pakai gojek. All in al..."
Steelseries Aerox 3 Onyx RGB Ultra-Lightweight Gaming Mouse,Chemicy Gaming,Rp1.149.000,13,5,https://www.tokopedia.com/chemicygaming/steelseries-aerox-3-onyx-rgb-ultra-lightweight-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse || mantep cuuyyy ga kecewa pokok nya || mantappp
Razer Viper V2 Pro Ultra-Lightweight Wireless Gaming Mouse - Putih,Chemicy Gaming,Rp1.999.000,27,5,https://www.tokopedia.com/chemicygaming/razer-viper-v2-pro-ultra-lightweight-wireless-gaming-mouse-putih?extParam=whid%3D70839%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"CAKEEPPP, sehat selalu buat mimin2 chemicy, sukses selalu 🔥🔥 || Sudah sampai dengan selamat, mousenya manteb. || barang sesuai"
Steelseries Rival 3 TrueMove Air Wireless Gaming Mouse,Chemicy Gaming,Rp949.000,100+,4.9,https://www.tokopedia.com/chemicygaming/steelseries-rival-3-truemove-air-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Cakep gan, berfungsi dengan baik, pengiriman super cepat || Barang bagus n sampai dengan selamat. Rec seller || Mantap keren warnanya black matte kokoh gituuu"
Ajazz AJ159 / AJ-159 Ultra-lightweight Dual-mode Wireless Gaming Mouse,Chemicy Gaming,Rp459.000,12,5,https://www.tokopedia.com/chemicygaming/ajazz-aj159-aj-159-ultra-lightweight-dual-mode-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,Mousenya enak buat main valorant aim makin nempel joss banget 🤟🤟 || Creamy Clicky mouse.. mantul👌
Tiger Arc Ice Hyperglide Mousefeet for Razer Viper Basilisk Orochi V2 - Deathadder V2,Chemicy Gaming,Rp95.000,50+,5,https://www.tokopedia.com/chemicygaming/tiger-arc-ice-hyperglide-mousefeet-for-razer-viper-basilisk-orochi-v2-deathadder-v2?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"mantap licin banget buat ngeflik gak seret, kalau bawaan viper masih kurang banget speed nya Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best valu... || sebenarnya ingin memberi bintang 3 karena ada 2 masalah: pada bagian deksripsi tidak dijelaskan glide apa yg tersedia versi Ice (Licin) dan mana yg versi Arc (kesat). hal... || Mousefeet nya sih baru dipasang doang, tapi ini emang beneran licin. Potongan yang disediain kurang pas sama mouse, gk sempurna 100% sekitar 95%-an"
Steelseries Rival 3 TrueMove Core Wired Gaming Mouse,Chemicy Gaming,Rp649.000,500+,5,https://www.tokopedia.com/chemicygaming/steelseries-rival-3-truemove-core-wired-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Barang sampai dengan cepat dan berfungsi dengan baik, respon admin sat set, mantab 👍 || klik kiri agak lebih keras pas diklik dibanding sama klik kanan. tapi overall oke lah. thank you. || Abangnya fast respond, pengiriman cepat, barang sesuai dengan gambar dan deskripsi. Mantab abieezztt pokoknya mah. Recommended seller for gaming gear."
Steelseries Prime Mini Wireless Ultra-Lightweight Gaming Mouse - NON WARANTY,Chemicy Gaming,Rp775.000,14,5,https://www.tokopedia.com/chemicygaming/steelseries-prime-mini-wireless-ultra-lightweight-gaming-mouse-non-waranty?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"penjual sangat baik dan mau bantu proses mouse yang awalnya bermasalah. sangat rekomen || Sudah sampai dengan selamat, terimakasihh. || mousenya enak dipakai, cocok sekali buat yg palm grip dan tangan sy yg sizenya termasuk kecil 16,5 cm"
HyperX Pulsefire Haste RGB Wireless Gaming Mouse - Hitam,Chemicy Gaming,Rp1.362.000,5,4.8,https://www.tokopedia.com/chemicygaming/hyperx-pulsefire-haste-rgb-wireless-gaming-mouse-hitam?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,Mantap pokoknya
Razer Deathadder V2X Hyperspeed Wireless Gaming Mouse,Chemicy Gaming,Rp649.000,21,5,https://www.tokopedia.com/chemicygaming/razer-deathadder-v2x-hyperspeed-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Packaging bubble tebel, barang sesuai deskripsi lengkap, smoga dipake awet, dpt stiker dan krtu ucapan Thanks || Barang sesuai deskripsi dalam ukuran maupun warna serta sesuai dengan foto yang ditampilkan. Barang diterima tanpa cacat dan dapat digunakan dengan normal. Seller Recomme... || KENCANG KALIIII PENGIRIMANMU BANG! SUKSES TEROOOOOOSSSS"
