Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Rexus Mouse Gaming Wireless Xierra RX110,Enter Komputer Official,Rp84.000,30+,5,https://www.tokopedia.com/enterkomputer/rexus-mouse-gaming-wireless-xierra-rx110?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"kiriman cepat sampai, dipacking dengan sangat aman || Barang sesuai dengan pesanan || Terbaikkkkkkkkkkkk"
HP G360 Wired Optical RGB Gaming Mouse,Enter Komputer Official,Rp185.000,19,4.8,https://www.tokopedia.com/enterkomputer/hp-g360-wired-optical-rgb-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"kotak mouse pengok saat tiba || Barang nya bagus & original. Ga pernah kecewa kalo belanja di enterkomputer || Kliknya empuk, scrollnya halus. Tapi sayangnya mouse ini agak gede jadi pegel, kayanya buat tangannya orang bule."
NYK Mouse Gaming RGB HK-500,Enter Komputer Official,Rp100.000,1,5,https://www.tokopedia.com/enterkomputer/nyk-mouse-gaming-rgb-hk-500?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
1STPLAYER Gaming Mouse FIREBASE M6 - Honeycomb & RGB Effect - 10000dpi,Enter Komputer Official,Rp250.000,30+,5,https://www.tokopedia.com/enterkomputer/1stplayer-gaming-mouse-firebase-m6-honeycomb-rgb-effect-10000dpi?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"aman || Ukuran mouse besar sekali, size xl. Ga cocok for gaming. Ringan. Mungkin size tangan bule cocoknya. || overall ini mouse bagus sih menurut gw,ringan dan modern bgt,untuk rgb dan dpi bisa diatur lewat software dari 1stplayer tinggal di download,dan pilihan warna rgbnya ini..."
ADATA XPG INFAREX M20 - GAMING MOUSE - 5000 DPI - OMRON switches 20 mi,Enter Komputer Official,Rp373.000,2,1,https://www.tokopedia.com/enterkomputer/adata-xpg-infarex-m20-gaming-mouse-5000-dpi-omron-switches-20-mi?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Rexus Wireless Gaming Mouse Arka,Enter Komputer Official,Rp314.000,30+,4.9,https://www.tokopedia.com/enterkomputer/rexus-wireless-gaming-mouse-arka?extParam=whid%3D53830%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"mouse keren,RGB top || good overall, thank you Enterkomputer || Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan.. Best value mouse."
Steelseries Rival 5 Black (RGB) Gaming Mouse,Enter Komputer Official,Rp1.150.000,11,5,https://www.tokopedia.com/enterkomputer/steelseries-rival-5-black-rgb-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,pokok nya TOP banget dech
Logitech G304 Lightspeed Wireless Gaming Mouse - Black,Enter Komputer Official,Rp514.000,30+,5,https://www.tokopedia.com/enterkomputer/logitech-g304-lightspeed-wireless-gaming-mouse-black?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,Mouse Logitech G304 mantap performance gaming nya buat kerja juga maknyos Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse || pesan barang ke enter komputer selalu cepat dan akurat. terima kasih || fast response packing mantab
Rexus Daxa PRO Wireless II DX-PW2 8K Polling Rate Ergonomic Gaming Mouse,Enter Komputer Official,Rp899.000,1 barang berhasil terjual,-,https://www.tokopedia.com/enterkomputer/rexus-daxa-pro-wireless-ii-dx-pw2-8k-polling-rate-ergonomic-gaming-mouse-1730961790903420892?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Razer DeathAdder Essential - Right Handed Gaming Mouse,Enter Komputer Official,Rp245.000,100+,5,https://www.tokopedia.com/enterkomputer/razer-deathadder-essential-right-handed-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Barang original. Nyaman dipakai karena lebih ergonomis. Jadi nggak terlalu pegel dibuat main game. Bisa dipakai di Ubuntu 22.04. Cuma aplikasi Razer Synapse emang nggak... || Barangnya bagus, pengiriman instant nya cepet. Cuma ada kendala aja tadi karena bales chat nya agak lama udah keburu check out padahal warna hitamnya abis, jadi harus tam... || barang oke, pengiriman cepet banget, ngga pernah mengecewakan belanja di sini... makasi min, sukses selalu"
Lamzu Maya X Ultralight Ergonomic Wireless Gaming Mouse - Cloud Gray,Enter Komputer Official,Rp1.879.000,-,-,https://www.tokopedia.com/enterkomputer/lamzu-maya-x-ultralight-ergonomic-wireless-gaming-mouse-cloud-gray-1730932412805515228?extParam=whid%3D53830%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
GALAX SLIDER-04 Ergonomic Gaming Mouse - RGB Light - 6400DPI,Enter Komputer Official,Rp271.000,3,5,https://www.tokopedia.com/enterkomputer/galax-slider-04-ergonomic-gaming-mouse-rgb-light-6400dpi?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,Nyaman dan praktis tinggal plug and play.
